audit_class,message_id,event_class,new_in_release,log_message
Transaction Start,DU9,Non-Critical,,Generic table access call to &A with activity &B (auth. check: &C )
Transaction Start,RUA,Non-Critical,new,S/2 Cloud SDK ABAP component called
Report Start,AUW,Non-Critical,WS,Report &A Started
Report Start,AUX,Severe,,Start Report &A Failed (Reason = &B)
User Master Record Change,AU7,Critical,,User &A Created
User Master Record Change,AU8,Severe,,User &A Deleted
User Master Record Change,AU9,Severe,,User &A Locked
User Master Record Change,AUA,Severe,,User &A Unlocked
User Master Record Change,AUB,Severe,,Authorizations for User &A Changed
User Master Record Change,AUD,Severe,,User Master Record &A Changed
User Master Record Change,AUR,Severe,,&A &B Created
User Master Record Change,AUS,Severe,,&A &B Deleted
User Master Record Change,AUT,Severe,,&A &B Changed
User Master Record Change,AUU,Critical,,&A &B Activated
User Master Record Change,BU2,Non-Critical,,Password changed for user &B in client &A
User Master Record Change,BUV,Critical,740,Invalid hash value &A. The context contains &B.
User Master Record Change,BUW,Critical,740,A refresh token issued to client &A was used by client &B.
User Master Record Change,DUH,Severe with Monitor Alert,740,"OAuth 2.0: Token declared invalid (OAuth client=&A, user=&B, token type=&C)"
User Master Record Change,EUH,Non-Critical,new,Authorizations of user &A for authorization object &B detected
Other events,AU0,Non-Critical,,Audit – Test. Text: &A
Other events,AUV,Critical,,"Digital Signature Error (Reason = &A, ID = &B)"
Other events,AUY,Severe, 731,Download &A Bytes to File &C
Other events,AUZ,Severe,,"Digital Signature (Reason = &A, ID = &B)"
Other events,BU0,Critical with Monitor Alert,,"RAL configuration access: Action: &A, type: &B, name &C"
Other events,BU1,Critical with Monitor Alert,,Password check failed for user &B in client &A
Other events,BU3,Critical with Monitor Alert,,"Security check changed in export: Old value &A, new value &B"
Other events,BU4,Non-Critical,,"Dynamic ABAP code: Event &A, event type &B, check total &C"
Other events,BU5,Severe,,ICF recorder entry executed for user &A (activity &B)
Other events,BU6,Severe,,"ICF recorder entry executed by user &A (&B, &C) (activity &D)."
Other events,BU7,Severe,,Administration setting was changed for ICF Recorder (Activity: &A)
Other events,BU8,Critical,,Virus Scan Interface: Virus “&C” found by profile &A (step &B)
Other events,BU9,Severe,,Virus Scan Interface: Error “&C” occurred in profile &A (step &B)
Other events,BUA,Severe,,"WS: Signature check error (reason &B, WP &C). Refer to Web service log &A."
Other events,BUB,Severe,,WS: Signature insufficient (WP &C). Refer to Web service log &A.
Other events,BUC,Severe,,WS: Time stamp is invalid. Refer to Web service log &A.
Other events,BUF,Non-Critical,,HTTP Security Session Management was activated for client &A.
Other events,BUG,Critical with Monitor Alert,,HTTP Security Session Management was deactivated for client &A.
Other events,BUH,Severe with Monitor Alert,,HTTP Security Session of user &A (client &B) was hard exited
Other events,BUJ,Severe,Note 2104732,Non-encrypted &A communication (&B)
Other events,BUS,Critical,,&A: Request without sufficient security characteristic of address &B.
Other events,BUT,Severe,740,CRL download failed with error code &A
Other events,BUU,Critical,740,Certificate check for subject “&A” with profile &B failed (status &C)
Other events,BUY,Critical,,Field contents changed: &5&9&9&9&9&9
Other events,BUZ,Very Critical,,"> in program &A, line &B, event &C"
Other events,CU0,Critical,,RAL Log Access: Action: &A
Other events,CU1,Severe,,CU Test Message
Other events,CUK,Critical,,C debugging activated
Other events,CUL,Very Critical,,Field content changed: &A
Other events,CU_M,Very Critical,,Jump to ABAP Debugger: &A
Other events,CUN,Very Critical,,A manually caught process was stopped from within the Debugger (&A)
Other events,CUO,Very Critical,,Explicit database commit or rollback from debugger &A
Other events,CUP,Very Critical,,Non-exclusive debugging session started
Other events,CUQ,Severe,,Logical file name &A not configured. Physical file name &B not checked.
Other events,CUR,Severe,,Physical file name &B does not fulfill requirements from logical file name &A
Other events,CUS,Severe,,Logical file name &B is not a valid alias for logical file name &A
Other events,CUT,Severe,,Validation for logical file name &A is not active
Other events,CUU,Non-Critical,,Payload of PI/WS message &A was read | &B
Other events,CUX,Non-Critical,,Payload of postprocessing request &A read
Other events,CUY,Non-Critical,,> &A
Other events,DUA,Severe,731,EHS-SADM: Service &A created on host &B
Other events,DUB,Severe,731,EHS-SADM: Service &A started on host &B
Other events,DUC,Severe,731,EHS-SADM: Service &A ended on host &B
Other events,DUD,Severe,731,EHS-SADM: Service &A deleted on host &B
Other events,DUE,Non-Critical,731,EHS-SADM: Configuration of service &A changed on host &B
Other events,DUF,Non-Critical,731,EHS-SADM: File &A transferred from host &B
Other events,DUG,Non-Critical,731,EHS-SADM: File &A transferred to host &B
Other events,DUL,Non-Critical,,Check for &A in whitelist &B was successful
Other events,DUM,Severe with Monitor Alert,,Check for &A in whitelist &B failed
Other events,DUN,Critical with Monitor Alert,,Active whitelist &A changed ( &B )
Other events,DUO,Non-Critical,,Authorization check for object &A in scenario &B successful
Other events,DUP,Non-Critical,,Authorization check for object &A in scenario &B failed
Other events,DUQ,Critical with Monitor Alert,,Active scenario &A for switchable authorization checks changed – &B
Other events,DUU,Non-Critical,,Authorization check for user &C on object &A in scenario &B successful
Other events,DUV,Non-Critical,,Authorization check for user &C on object &A in scenario &B failed
Other events,DUW,Non-Critical,740,Data target accessed in BW &A
Other events,DUX,Non-Critical,740,TEMP: Customer-specific event DUX &A &B &C &D
Other events,DUY,Non-Critical,740,TEMP: Customer-specific event DUY &A &B &C &D
Other events,DUZ,Non-Critical,740,TEMP: Customer-specific event DUZ &A &B &C &D
Other events,EU3,Critical,750,&A change documents deleted without archiving (&B)
Other events,EU4,Non-Critical,new,Validation successful for logical file name &A (physical: &B)
Other events,EUB,Critical,new,Could not verify the digital signature: &A
Other events,EUV,Non-Critical,new,CDS view &A was published
Other events,FU2,Severe,740,Parsing of an XML data stream canceled for security reasons (reason = &A)
System / housekeeping,AUE,Very Critical,,Audit Configuration Changed
System / housekeeping,AUF,Very Critical,,"Audit: Slot &A: Class &B, Severity &C, User &D, Client &E, &F"
System / housekeeping,AUG,Very Critical,,Application Server Started
System / housekeeping,AUH,Very Critical,,Application Server Stopped
System / housekeeping,AUI,Very Critical,,Audit: Slot &A Inactive
System / housekeeping,AUJ,Very Critical with Monitor Alert,,Audit: Active Status Set to &1
System / housekeeping,EU1,Very Critical,731,System changeability changed (&A to &B)
System / housekeeping,EU2,Very Critical,731,Client setting for &A changed (&B)
System / housekeeping,EU5,Non-Critical,new,Audit log data of &A was deleted (&B data records)
System / housekeeping,FU0,Very Critical,750,Exclusive security audit log medium changed (new status &1)
